mode time Mu[1,1] Mu[1,2] Mu[2,1] Mu[2,2] Mu[3,1] Mu[3,2] rho[1] rho[2] PI[1,1,1] PI[1,1,2] PI[1,2,1] PI[1,2,2] PI[2,1,1] PI[2,1,2] PI[2,2,1] PI[2,2,2] PI[3,1,1] PI[3,1,2] PI[3,2,1] PI[3,2,2] alpha[1,1] alpha[1,2] alpha[2,1] alpha[2,2] alpha[3,1] alpha[3,2] lambda[1] lambda[2] lambda[3] theta[1] theta[2] loglikelihood
thinning 1.079 0.8408 0.06388 0.1414 0.09135 0.01781 0.8448 0.1055 0.1055 0 0.001894 0.002994 0 0 0.002766 0.002067 0 0 0.002937 0.002227 0 0.6125 0.3875 0.4277 0.5723 0.4312 0.5688 32.558 30.3233 32.2738 0.005261 0.005261 -66151.2228
phasehunt 2.497 0.8408 0.06388 0.1414 0.09135 0.01781 0.8448 0.1055 0.1055 0 0.001894 0.002994 0 0 0.002766 0.002067 0 0 0.002937 0.002227 0 0.6125 0.3875 0.4277 0.5723 0.4312 0.5688 32.558 30.3233 32.2738 0.005261 0.005261 -64719.8549
EM 0.8696 0.8561 0.06101 0.1278 0.08369 0.01611 0.8553 0.1028 0.1028 0 0.001621 0.00251 0 0 0.002454 0.001886 0 0 0.002807 0.002138 0 0.6077 0.3923 0.4345 0.5655 0.4324 0.5676 27.2691 27.0162 30.8574 0.005152 0.005152 -64690.6434
EM 1.685 0.8649 0.05952 0.12 0.08027 0.01506 0.8602 0.1018 0.1018 0 0.001554 0.002398 0 0 0.0024 0.001848 0 0 0.002805 0.002144 0 0.6068 0.3932 0.4349 0.5651 0.4332 0.5668 26.0449 26.4278 30.853 0.005176 0.005176 -64684.015
EM 2.614 0.8704 0.05867 0.1152 0.07865 0.01434 0.8627 0.1014 0.1014 0 0.001544 0.002381 0 0 0.002399 0.001847 0 0 0.002826 0.002165 0 0.6066 0.3934 0.4351 0.5649 0.4337 0.5663 25.8555 26.41 31.1015 0.005205 0.005205 -64681.8866
EM 3.67 0.874 0.05812 0.1122 0.07787 0.01382 0.864 0.1013 0.1013 0 0.001548 0.002385 0 0 0.002406 0.001853 0 0 0.002847 0.002183 0 0.6065 0.3935 0.4351 0.5649 0.434 0.566 25.9064 26.4913 31.3329 0.005223 0.005223 -64681.0258
EM 4.752 0.8764 0.05776 0.1101 0.07749 0.01343 0.8648 0.1013 0.1013 0 0.001553 0.002393 0 0 0.002413 0.001858 0 0 0.002862 0.002196 0 0.6064 0.3936 0.4351 0.5649 0.4341 0.5659 25.9922 26.5671 31.5026 0.005232 0.005232 -64680.6188
EM 5.586 0.8781 0.0575 0.1088 0.07733 0.01313 0.8652 0.1013 0.1013 0 0.001558 0.0024 0 0 0.002418 0.001862 0 0 0.002872 0.002204 0 0.6064 0.3936 0.4351 0.5649 0.4342 0.5658 26.0663 26.6221 31.6191 0.005236 0.005236 -64680.405
EM 6.46 0.8793 0.05732 0.1078 0.07726 0.01289 0.8654 0.1014 0.1014 0 0.001562 0.002405 0 0 0.002421 0.001864 0 0 0.002879 0.00221 0 0.6063 0.3937 0.435 0.565 0.4342 0.5658 26.1227 26.6597 31.6981 0.005238 0.005238 -64680.2851
EM 7.329 0.8801 0.05718 0.1072 0.07725 0.01271 0.8656 0.1014 0.1014 0 0.001565 0.002409 0 0 0.002424 0.001866 0 0 0.002884 0.002213 0 0.6063 0.3937 0.435 0.565 0.4342 0.5658 26.1644 26.6854 31.7522 0.005239 0.005239 -64680.2148
EM 8.219 0.8807 0.05708 0.1067 0.07726 0.01257 0.8657 0.1014 0.1014 0 0.001567 0.002412 0 0 0.002425 0.001867 0 0 0.002888 0.002216 0 0.6062 0.3938 0.4349 0.5651 0.4342 0.5658 26.1952 26.7034 31.7901 0.005239 0.005239 -64680.1722
EM 9.026 0.8812 0.05701 0.1064 0.07728 0.01246 0.8657 0.1014 0.1014 0 0.001568 0.002414 0 0 0.002427 0.001868 0 0 0.00289 0.002217 0 0.6062 0.3938 0.4349 0.5651 0.4342 0.5658 26.2182 26.7164 31.8173 0.005239 0.005239 -64680.1459
thinning 1.238 0.8812 0.05701 0.1064 0.07728 0.01246 0.8657 0.1014 0.1014 0 0.001568 0.002414 0 0 0.002427 0.001868 0 0 0.00289 0.002217 0 0.6062 0.3938 0.4349 0.5651 0.4342 0.5658 26.2182 26.7164 31.8173 0.005239 0.005239 -64639.3683
phasehunt 1.549 0.8812 0.05701 0.1064 0.07728 0.01246 0.8657 0.1014 0.1014 0 0.001568 0.002414 0 0 0.002427 0.001868 0 0 0.00289 0.002217 0 0.6062 0.3938 0.4349 0.5651 0.4342 0.5658 26.2182 26.7164 31.8173 0.005239 0.005239 -64616.3547
EM 0.8214 0.8851 0.05719 0.1023 0.07528 0.01255 0.8675 0.1015 0.1015 0 0.001549 0.002369 0 0 0.002429 0.001874 0 0 0.002865 0.002205 0 0.6046 0.3954 0.4354 0.5646 0.4349 0.5651 25.7288 26.7574 31.5584 0.005266 0.005266 -64614.7304
EM 1.644 0.8877 0.05745 0.09967 0.07411 0.01264 0.8684 0.1015 0.1015 0 0.001543 0.00236 0 0 0.002433 0.001877 0 0 0.00286 0.002202 0 0.6046 0.3954 0.4355 0.5645 0.4349 0.5651 25.624 26.8011 31.5075 0.005277 0.005277 -64614.0029
EM 2.45 0.8894 0.05772 0.0979 0.0734 0.01273 0.8689 0.1017 0.1017 0 0.001541 0.002357 0 0 0.002435 0.001879 0 0 0.002859 0.002201 0 0.6046 0.3954 0.4355 0.5645 0.4349 0.5651 25.5995 26.8214 31.4956 0.005281 0.005281 -64613.634
EM 3.247 0.8905 0.05796 0.0967 0.07294 0.0128 0.8691 0.1018 0.1018 0 0.001541 0.002357 0 0 0.002435 0.001879 0 0 0.002859 0.0022 0 0.6047 0.3953 0.4355 0.5645 0.4349 0.5651 25.5921 26.8255 31.4869 0.005282 0.005282 -64613.4324
EM 4.06 0.8913 0.05818 0.09587 0.07264 0.01286 0.8692 0.1018 0.1018 0 0.001541 0.002356 0 0 0.002435 0.001879 0 0 0.002858 0.002199 0 0.6047 0.3953 0.4355 0.5645 0.4348 0.5652 25.5863 26.8213 31.4753 0.005281 0.005281 -64613.3166
EM 4.912 0.8918 0.05836 0.09529 0.07243 0.01291 0.8692 0.1019 0.1019 0 0.00154 0.002356 0 0 0.002434 0.001878 0 0 0.002857 0.002197 0 0.6047 0.3953 0.4355 0.5645 0.4348 0.5652 25.5797 26.8137 31.4616 0.00528 0.00528 -64613.2475
EM 5.722 0.8922 0.05851 0.09489 0.07229 0.01295 0.8692 0.1019 0.1019 0 0.00154 0.002355 0 0 0.002434 0.001877 0 0 0.002855 0.002196 0 0.6047 0.3953 0.4355 0.5645 0.4348 0.5652 25.5728 26.8055 31.4477 0.00528 0.00528 -64613.2049
EM 6.643 0.8924 0.05863 0.0946 0.07218 0.01298 0.8692 0.102 0.102 0 0.001539 0.002354 0 0 0.002433 0.001877 0 0 0.002854 0.002195 0 0.6046 0.3954 0.4355 0.5645 0.4347 0.5653 25.566 26.7977 31.4347 0.005279 0.005279 -64613.178
EM 7.571 0.8926 0.05873 0.0944 0.07211 0.013 0.8692 0.102 0.102 0 0.001539 0.002354 0 0 0.002432 0.001876 0 0 0.002853 0.002194 0 0.6046 0.3954 0.4355 0.5645 0.4347 0.5653 25.5599 26.7909 31.4233 0.005278 0.005278 -64613.1605
EM 8.48 0.8927 0.05882 0.09425 0.07205 0.01302 0.8691 0.102 0.102 0 0.001539 0.002353 0 0 0.002432 0.001876 0 0 0.002853 0.002193 0 0.6046 0.3954 0.4354 0.5646 0.4347 0.5653 25.5546 26.7851 31.4137 0.005278 0.005278 -64613.149
thinning 1.068 0.8927 0.05882 0.09425 0.07205 0.01302 0.8691 0.102 0.102 0 0.001539 0.002353 0 0 0.002432 0.001876 0 0 0.002853 0.002193 0 0.6046 0.3954 0.4354 0.5646 0.4347 0.5653 25.5546 26.7851 31.4137 0.005278 0.005278 -64605.9462
phasehunt 1.245 0.8927 0.05882 0.09425 0.07205 0.01302 0.8691 0.102 0.102 0 0.001539 0.002353 0 0 0.002432 0.001876 0 0 0.002853 0.002193 0 0.6046 0.3954 0.4354 0.5646 0.4347 0.5653 25.5546 26.7851 31.4137 0.005278 0.005278 -64605.2381
EM 0.9392 0.8944 0.05906 0.09257 0.07097 0.01307 0.87 0.1021 0.1021 0 0.00154 0.002354 0 0 0.002432 0.001877 0 0 0.002854 0.002197 0 0.6045 0.3955 0.4356 0.5644 0.4349 0.5651 25.5589 26.7924 31.4361 0.005282 0.005282 -64604.7983
EM 1.945 0.8954 0.05931 0.09144 0.07029 0.01311 0.8704 0.1022 0.1022 0 0.00154 0.002355 0 0 0.002433 0.001878 0 0 0.002856 0.002199 0 0.6046 0.3954 0.4356 0.5644 0.435 0.565 25.5747 26.8019 31.4573 0.005283 0.005283 -64604.5681
EM 2.925 0.8962 0.05954 0.09069 0.06985 0.01315 0.8706 0.1023 0.1023 0 0.001541 0.002356 0 0 0.002433 0.001878 0 0 0.002857 0.002199 0 0.6046 0.3954 0.4356 0.5644 0.435 0.565 25.5821 26.8044 31.4653 0.005282 0.005282 -64604.4388
EM 3.78 0.8967 0.05974 0.09016 0.06956 0.01318 0.8707 0.1024 0.1024 0 0.001541 0.002356 0 0 0.002433 0.001878 0 0 0.002856 0.002199 0 0.6046 0.3954 0.4356 0.5644 0.435 0.565 25.583 26.8018 31.4638 0.005282 0.005282 -64604.3624
EM 4.713 0.897 0.05991 0.0898 0.06936 0.0132 0.8707 0.1024 0.1024 0 0.001541 0.002356 0 0 0.002433 0.001877 0 0 0.002856 0.002198 0 0.6046 0.3954 0.4356 0.5644 0.435 0.565 25.5804 26.7966 31.4574 0.005281 0.005281 -64604.3155
EM 5.608 0.8972 0.06005 0.08955 0.06922 0.01322 0.8707 0.1025 0.1025 0 0.00154 0.002355 0 0 0.002432 0.001877 0 0 0.002855 0.002198 0 0.6046 0.3954 0.4356 0.5644 0.4349 0.5651 25.5762 26.7908 31.4489 0.00528 0.00528 -64604.2859
EM 6.523 0.8974 0.06017 0.08937 0.06911 0.01324 0.8707 0.1025 0.1025 0 0.00154 0.002355 0 0 0.002432 0.001876 0 0 0.002854 0.002197 0 0.6046 0.3954 0.4356 0.5644 0.4349 0.5651 25.5717 26.7851 31.4403 0.00528 0.00528 -64604.2667
EM 7.488 0.8975 0.06026 0.08924 0.06904 0.01325 0.8707 0.1025 0.1025 0 0.00154 0.002354 0 0 0.002431 0.001876 0 0 0.002854 0.002196 0 0.6046 0.3954 0.4356 0.5644 0.4349 0.5651 25.5674 26.7799 31.4322 0.005279 0.005279 -64604.254
thinning 2.121 0.8976 0.06034 0.08915 0.06898 0.01326 0.8707 0.1025 0.1025 0 0.00154 0.002354 0 0 0.002431 0.001876 0 0 0.002853 0.002195 0 0.6046 0.3954 0.4355 0.5645 0.4349 0.5651 25.5636 26.7756 31.4252 0.005279 0.005279 -64600.1824
phasehunt 1.279 0.8976 0.06034 0.08915 0.06898 0.01326 0.8707 0.1025 0.1025 0 0.00154 0.002354 0 0 0.002431 0.001876 0 0 0.002853 0.002195 0 0.6046 0.3954 0.4355 0.5645 0.4349 0.5651 25.5636 26.7756 31.4252 0.005279 0.005279 -64597.2981
EM 1.016 0.8986 0.06049 0.08817 0.06839 0.01328 0.8711 0.1026 0.1026 0 0.001541 0.002355 0 0 0.002431 0.001876 0 0 0.002853 0.002197 0 0.6045 0.3955 0.4356 0.5644 0.435 0.565 25.5735 26.7768 31.4316 0.005276 0.005276 -64597.1282
EM 2.061 0.8992 0.06065 0.08751 0.06802 0.0133 0.8713 0.1027 0.1027 0 0.001541 0.002356 0 0 0.002431 0.001877 0 0 0.002854 0.002198 0 0.6046 0.3954 0.4356 0.5644 0.435 0.565 25.5848 26.7809 31.441 0.005275 0.005275 -64597.0328
EM 3.091 0.8996 0.06079 0.08707 0.06778 0.01331 0.8714 0.1027 0.1027 0 0.001541 0.002357 0 0 0.002431 0.001877 0 0 0.002854 0.002198 0 0.6046 0.3954 0.4356 0.5644 0.435 0.565 25.5896 26.7813 31.4437 0.005274 0.005274 -64596.9757
EM 4.087 0.8999 0.06091 0.08676 0.06762 0.01333 0.8715 0.1028 0.1028 0 0.001541 0.002357 0 0 0.002431 0.001876 0 0 0.002854 0.002198 0 0.6046 0.3954 0.4356 0.5644 0.435 0.565 25.5902 26.7791 31.4416 0.005274 0.005274 -64596.9404
EM 4.988 0.9001 0.06101 0.08655 0.06751 0.01334 0.8715 0.1028 0.1028 0 0.001541 0.002356 0 0 0.002431 0.001876 0 0 0.002854 0.002197 0 0.6046 0.3954 0.4356 0.5644 0.435 0.565 25.5887 26.7757 31.4371 0.005273 0.005273 -64596.9178
EM 5.82 0.9003 0.0611 0.0864 0.06743 0.01335 0.8715 0.1028 0.1028 0 0.001541 0.002356 0 0 0.00243 0.001876 0 0 0.002854 0.002197 0 0.6046 0.3954 0.4356 0.5644 0.435 0.565 25.5862 26.7721 31.4318 0.005273 0.005273 -64596.903
thinning 2.039 0.9003 0.06117 0.0863 0.06737 0.01335 0.8715 0.1029 0.1029 0 0.001541 0.002356 0 0 0.00243 0.001875 0 0 0.002853 0.002196 0 0.6046 0.3954 0.4356 0.5644 0.435 0.565 25.5836 26.7687 31.4266 0.005272 0.005272 -64593.801
phasehunt 1.182 0.9003 0.06117 0.0863 0.06737 0.01335 0.8715 0.1029 0.1029 0 0.001541 0.002356 0 0 0.00243 0.001875 0 0 0.002853 0.002196 0 0.6046 0.3954 0.4356 0.5644 0.435 0.565 25.5836 26.7687 31.4266 0.005272 0.005272 -64593.801
EM 0.8891 0.9008 0.06127 0.08581 0.06704 0.01336 0.8717 0.1029 0.1029 0 0.001541 0.002356 0 0 0.00243 0.001876 0 0 0.002854 0.002197 0 0.6045 0.3955 0.4356 0.5644 0.435 0.565 25.585 26.7699 31.4326 0.005272 0.005272 -64593.7396
EM 1.694 0.9011 0.06137 0.08548 0.06682 0.01337 0.8718 0.103 0.103 0 0.001541 0.002356 0 0 0.00243 0.001876 0 0 0.002854 0.002197 0 0.6045 0.3955 0.4356 0.5644 0.435 0.565 25.5887 26.7716 31.4369 0.005272 0.005272 -64593.702
EM 2.507 0.9014 0.06146 0.08526 0.06668 0.01338 0.8719 0.103 0.103 0 0.001541 0.002357 0 0 0.00243 0.001876 0 0 0.002854 0.002197 0 0.6046 0.3954 0.4356 0.5644 0.435 0.565 25.5901 26.7713 31.4376 0.005272 0.005272 -64593.6781
EM 3.319 0.9015 0.06153 0.0851 0.06659 0.01339 0.8719 0.103 0.103 0 0.001541 0.002357 0 0 0.00243 0.001876 0 0 0.002854 0.002197 0 0.6046 0.3954 0.4356 0.5644 0.435 0.565 25.5897 26.7698 31.4359 0.005272 0.005272 -64593.6625
EM 4.134 0.9016 0.0616 0.08499 0.06652 0.0134 0.8719 0.103 0.103 0 0.001541 0.002356 0 0 0.00243 0.001876 0 0 0.002854 0.002197 0 0.6046 0.3954 0.4356 0.5644 0.435 0.565 25.5885 26.7676 31.4331 0.005271 0.005271 -64593.652
