mode time Mu[1,1] Mu[1,2] Mu[2,1] Mu[2,2] Mu[3,1] Mu[3,2] rho[1] rho[2] PI[1,1,1] PI[1,1,2] PI[1,2,1] PI[1,2,2] PI[2,1,1] PI[2,1,2] PI[2,2,1] PI[2,2,2] PI[3,1,1] PI[3,1,2] PI[3,2,1] PI[3,2,2] alpha[1,1] alpha[1,2] alpha[2,1] alpha[2,2] alpha[3,1] alpha[3,2] lambda[1] lambda[2] lambda[3] theta[1] theta[2] loglikelihood
EM 0.8978 0.8237 0.06148 0.1621 0.09334 0.01414 0.8452 0.1011 0.1011 0 0.001009 0.003053 0 0 0.002809 0.00123 0 0 0.002358 0.00179 0 0.7516 0.2484 0.3046 0.6954 0.4316 0.5684 41.1339 33.1072 25.8946 0.005192 0.005192 -64514.9866
EM 1.806 0.8325 0.05988 0.1544 0.09109 0.01303 0.849 0.09989 0.09989 0 0.0009857 0.00297 0 0 0.002744 0.001205 0 0 0.002302 0.001748 0 0.7508 0.2492 0.3051 0.6949 0.4316 0.5684 39.919 32.3066 25.2785 0.005213 0.005213 -64509.1177
EM 2.75 0.8383 0.05894 0.1495 0.09024 0.01225 0.8508 0.09941 0.09941 0 0.0009848 0.002964 0 0 0.00274 0.001204 0 0 0.002302 0.001747 0 0.7506 0.2494 0.3053 0.6947 0.4315 0.5685 39.7974 32.2435 25.2791 0.005241 0.005241 -64507.1805
EM 3.687 0.8421 0.05831 0.1462 0.08997 0.01168 0.8517 0.09923 0.09923 0 0.0009879 0.002971 0 0 0.002746 0.001208 0 0 0.002313 0.001755 0 0.7504 0.2496 0.3054 0.6946 0.4314 0.5686 39.8753 32.32 25.4062 0.005259 0.005259 -64506.3562
EM 4.619 0.8449 0.05787 0.1439 0.08995 0.01124 0.8522 0.09918 0.09918 0 0.0009908 0.002978 0 0 0.002753 0.00121 0 0 0.002325 0.001763 0 0.7503 0.2497 0.3054 0.6946 0.4312 0.5688 39.9595 32.3986 25.5323 0.005269 0.005269 -64505.9421
EM 5.526 0.8468 0.05755 0.1423 0.09003 0.0109 0.8524 0.09917 0.09917 0 0.0009931 0.002983 0 0 0.002758 0.001212 0 0 0.002334 0.001769 0 0.7502 0.2498 0.3053 0.6947 0.4311 0.5689 40.0201 32.4567 25.6318 0.005274 0.005274 -64505.7126
EM 6.394 0.8482 0.05731 0.1412 0.09015 0.01064 0.8525 0.09919 0.09919 0 0.0009947 0.002987 0 0 0.002761 0.001213 0 0 0.002341 0.001773 0 0.7502 0.2498 0.3053 0.6947 0.431 0.569 40.0606 32.4965 25.706 0.005277 0.005277 -64505.5781
EM 7.246 0.8492 0.05712 0.1404 0.09026 0.01043 0.8526 0.09921 0.09921 0 0.0009958 0.002989 0 0 0.002763 0.001214 0 0 0.002346 0.001776 0 0.7501 0.2499 0.3052 0.6948 0.4309 0.5691 40.0876 32.5238 25.7607 0.005278 0.005278 -64505.4969
EM 8.089 0.8499 0.05697 0.1398 0.09036 0.01026 0.8527 0.09923 0.09923 0 0.0009967 0.002991 0 0 0.002764 0.001214 0 0 0.00235 0.001779 0 0.7501 0.2499 0.3052 0.6948 0.4308 0.5692 40.1064 32.5431 25.8016 0.005278 0.005278 -64505.4468
EM 8.956 0.8505 0.05686 0.1394 0.09045 0.01013 0.8527 0.09925 0.09925 0 0.0009973 0.002992 0 0 0.002765 0.001214 0 0 0.002353 0.001781 0 0.75 0.25 0.3051 0.6949 0.4307 0.5693 40.12 32.5571 25.8327 0.005279 0.005279 -64505.4155
thinning 1.422 0.8505 0.05686 0.1394 0.09045 0.01013 0.8527 0.09925 0.09925 0 0.0009973 0.002992 0 0 0.002765 0.001214 0 0 0.002353 0.001781 0 0.75 0.25 0.3051 0.6949 0.4307 0.5693 40.12 32.5571 25.8327 0.005279 0.005279 -64484.6308
phasehunt 1.69 0.8505 0.05686 0.1394 0.09045 0.01013 0.8527 0.09925 0.09925 0 0.0009973 0.002992 0 0 0.002765 0.001214 0 0 0.002353 0.001781 0 0.75 0.25 0.3051 0.6949 0.4307 0.5693 40.12 32.5571 25.8327 0.005279 0.005279 -64472.9766
EM 0.9127 0.8545 0.05697 0.1353 0.08906 0.01015 0.854 0.09909 0.09909 0 0.0009967 0.002978 0 0 0.002751 0.001198 0 0 0.002349 0.001778 0 0.7493 0.2507 0.3034 0.6966 0.4308 0.5692 39.8379 32.498 25.7895 0.005302 0.005302 -64471.9221
EM 1.776 0.8573 0.05716 0.1325 0.08829 0.01018 0.8546 0.09907 0.09907 0 0.000997 0.002979 0 0 0.002746 0.001196 0 0 0.002351 0.001779 0 0.7492 0.2508 0.3033 0.6967 0.4308 0.5692 39.8417 32.4324 25.8051 0.005313 0.005313 -64471.4397
EM 2.692 0.8592 0.05735 0.1306 0.08782 0.01022 0.8548 0.09911 0.09911 0 0.0009975 0.00298 0 0 0.002745 0.001195 0 0 0.002352 0.00178 0 0.7492 0.2508 0.3033 0.6967 0.4307 0.5693 39.8547 32.4213 25.8197 0.005318 0.005318 -64471.1885
EM 3.621 0.8605 0.05752 0.1293 0.08752 0.01025 0.855 0.09916 0.09916 0 0.0009978 0.00298 0 0 0.002744 0.001194 0 0 0.002352 0.00178 0 0.7492 0.2508 0.3033 0.6967 0.4307 0.5693 39.8583 32.4191 25.8241 0.00532 0.00532 -64471.0471
EM 4.585 0.8614 0.05767 0.1283 0.08732 0.01028 0.855 0.0992 0.0992 0 0.0009979 0.00298 0 0 0.002744 0.001194 0 0 0.002352 0.001779 0 0.7491 0.2509 0.3032 0.6968 0.4307 0.5693 39.8544 32.4159 25.8209 0.00532 0.00532 -64470.9639
EM 5.563 0.8621 0.0578 0.1276 0.08718 0.01031 0.855 0.09924 0.09924 0 0.0009979 0.00298 0 0 0.002743 0.001194 0 0 0.002352 0.001779 0 0.7491 0.2509 0.3032 0.6968 0.4306 0.5694 39.8471 32.4109 25.8135 0.00532 0.00532 -64470.9132
EM 6.494 0.8626 0.05791 0.1271 0.08708 0.01033 0.855 0.09928 0.09928 0 0.0009978 0.002979 0 0 0.002743 0.001193 0 0 0.002351 0.001778 0 0.7491 0.2509 0.3031 0.6969 0.4306 0.5694 39.8388 32.4053 25.8047 0.00532 0.00532 -64470.8816
EM 7.42 0.863 0.05799 0.1267 0.08701 0.01035 0.855 0.0993 0.0993 0 0.0009977 0.002979 0 0 0.002742 0.001193 0 0 0.00235 0.001777 0 0.7491 0.2509 0.3031 0.6969 0.4306 0.5694 39.8308 32.3997 25.796 0.005319 0.005319 -64470.8614
EM 8.396 0.8632 0.05806 0.1264 0.08695 0.01036 0.855 0.09932 0.09932 0 0.0009976 0.002979 0 0 0.002741 0.001192 0 0 0.002349 0.001776 0 0.7491 0.2509 0.3031 0.6969 0.4305 0.5695 39.8239 32.3946 25.788 0.005319 0.005319 -64470.8483
thinning 2.486 0.8634 0.05812 0.1262 0.08691 0.01038 0.855 0.09934 0.09934 0 0.0009976 0.002978 0 0 0.002741 0.001192 0 0 0.002349 0.001776 0 0.7491 0.2509 0.3031 0.6969 0.4305 0.5695 39.818 32.3903 25.7811 0.005319 0.005319 -64469.2897
phasehunt 1.567 0.8634 0.05812 0.1262 0.08691 0.01038 0.855 0.09934 0.09934 0 0.0009976 0.002978 0 0 0.002741 0.001192 0 0 0.002349 0.001776 0 0.7491 0.2509 0.3031 0.6969 0.4305 0.5695 39.818 32.3903 25.7811 0.005319 0.005319 -64466.3027
EM 1.097 0.8651 0.05833 0.1245 0.08612 0.01042 0.8555 0.09937 0.09937 0 0.0009983 0.002977 0 0 0.002742 0.001193 0 0 0.002335 0.001759 0 0.7489 0.2511 0.3032 0.6968 0.4297 0.5703 39.7848 32.3901 25.6119 0.005321 0.005321 -64466.0499
EM 2.004 0.8663 0.05855 0.1233 0.08563 0.01046 0.8558 0.09943 0.09943 0 0.0009986 0.002978 0 0 0.002743 0.001194 0 0 0.002328 0.001754 0 0.7489 0.2511 0.3032 0.6968 0.4297 0.5703 39.7986 32.4036 25.5351 0.005322 0.005322 -64465.9049
EM 2.864 0.8671 0.05875 0.1224 0.0853 0.0105 0.856 0.09948 0.09948 0 0.0009988 0.002979 0 0 0.002743 0.001194 0 0 0.002325 0.001751 0 0.7489 0.2511 0.3032 0.6968 0.4296 0.5704 39.8025 32.4087 25.4999 0.005322 0.005322 -64465.8192
EM 3.75 0.8677 0.05892 0.1218 0.08507 0.01053 0.856 0.09952 0.09952 0 0.0009988 0.002978 0 0 0.002743 0.001194 0 0 0.002323 0.00175 0 0.7489 0.2511 0.3032 0.6968 0.4296 0.5704 39.7994 32.4076 25.4792 0.005322 0.005322 -64465.7666
EM 4.589 0.8681 0.05907 0.1214 0.08491 0.01056 0.856 0.09956 0.09956 0 0.0009987 0.002978 0 0 0.002743 0.001193 0 0 0.002321 0.001748 0 0.7489 0.2511 0.3032 0.6968 0.4296 0.5704 39.793 32.4033 25.464 0.005322 0.005322 -64465.7334
EM 5.453 0.8684 0.05919 0.121 0.0848 0.01058 0.856 0.09959 0.09959 0 0.0009986 0.002978 0 0 0.002742 0.001193 0 0 0.00232 0.001747 0 0.7489 0.2511 0.3032 0.6968 0.4296 0.5704 39.7857 32.3979 25.4516 0.005321 0.005321 -64465.7121
EM 6.318 0.8686 0.05929 0.1208 0.08471 0.0106 0.856 0.09961 0.09961 0 0.0009984 0.002977 0 0 0.002741 0.001193 0 0 0.002319 0.001747 0 0.7489 0.2511 0.3031 0.6969 0.4296 0.5704 39.7786 32.3925 25.4411 0.005321 0.005321 -64465.698
thinning 2.111 0.8687 0.05937 0.1206 0.08464 0.01062 0.856 0.09962 0.09962 0 0.0009983 0.002977 0 0 0.002741 0.001192 0 0 0.002319 0.001746 0 0.7489 0.2511 0.3031 0.6969 0.4296 0.5704 39.7723 32.3876 25.4321 0.00532 0.00532 -64464.4777
phasehunt 1.332 0.8687 0.05937 0.1206 0.08464 0.01062 0.856 0.09962 0.09962 0 0.0009983 0.002977 0 0 0.002741 0.001192 0 0 0.002319 0.001746 0 0.7489 0.2511 0.3031 0.6969 0.4296 0.5704 39.7723 32.3876 25.4321 0.00532 0.00532 -64463.7746
EM 0.8877 0.8696 0.05954 0.1198 0.08414 0.01065 0.8563 0.09966 0.09966 0 0.0009986 0.002976 0 0 0.002741 0.001193 0 0 0.002319 0.001746 0 0.7488 0.2512 0.3033 0.6967 0.4296 0.5704 39.752 32.3745 25.4353 0.00532 0.00532 -64463.6826
EM 1.742 0.8702 0.0597 0.1191 0.0838 0.01067 0.8565 0.0997 0.0997 0 0.0009987 0.002976 0 0 0.002741 0.001193 0 0 0.002319 0.001747 0 0.7488 0.2512 0.3033 0.6967 0.4296 0.5704 39.7577 32.379 25.4375 0.005321 0.005321 -64463.6271
EM 2.62 0.8706 0.05984 0.1187 0.08358 0.01069 0.8566 0.09973 0.09973 0 0.0009987 0.002977 0 0 0.002741 0.001193 0 0 0.002319 0.001746 0 0.7488 0.2512 0.3033 0.6967 0.4296 0.5704 39.759 32.3803 25.4355 0.00532 0.00532 -64463.5924
EM 3.511 0.8709 0.05996 0.1184 0.08342 0.01071 0.8566 0.09976 0.09976 0 0.0009987 0.002976 0 0 0.002741 0.001193 0 0 0.002318 0.001746 0 0.7488 0.2512 0.3032 0.6968 0.4296 0.5704 39.7569 32.3788 25.4306 0.00532 0.00532 -64463.57
EM 4.411 0.8711 0.06006 0.1182 0.08331 0.01073 0.8566 0.09978 0.09978 0 0.0009986 0.002976 0 0 0.002741 0.001193 0 0 0.002318 0.001746 0 0.7488 0.2512 0.3032 0.6968 0.4296 0.5704 39.7531 32.3759 25.4244 0.00532 0.00532 -64463.5553
thinning 2.088 0.8713 0.06015 0.118 0.08323 0.01074 0.8566 0.0998 0.0998 0 0.0009986 0.002976 0 0 0.00274 0.001192 0 0 0.002317 0.001745 0 0.7488 0.2512 0.3032 0.6968 0.4296 0.5704 39.7487 32.3724 25.418 0.005319 0.005319 -64462.759
phasehunt 1.178 0.8713 0.06015 0.118 0.08323 0.01074 0.8566 0.0998 0.0998 0 0.0009986 0.002976 0 0 0.00274 0.001192 0 0 0.002317 0.001745 0 0.7488 0.2512 0.3032 0.6968 0.4296 0.5704 39.7487 32.3724 25.418 0.005319 0.005319 -64462.759
EM 0.995 0.8717 0.06026 0.1175 0.08294 0.01076 0.8568 0.09982 0.09982 0 0.0009988 0.002976 0 0 0.00274 0.001193 0 0 0.002317 0.001745 0 0.7487 0.2513 0.3033 0.6967 0.4296 0.5704 39.7459 32.3638 25.4148 0.00532 0.00532 -64462.722
EM 1.972 0.8721 0.06037 0.1172 0.08275 0.01077 0.8569 0.09985 0.09985 0 0.0009988 0.002976 0 0 0.00274 0.001193 0 0 0.002317 0.001745 0 0.7487 0.2513 0.3033 0.6967 0.4296 0.5704 39.7494 32.3655 25.413 0.005319 0.005319 -64462.6981
EM 2.932 0.8723 0.06046 0.1169 0.08262 0.01079 0.8569 0.09987 0.09987 0 0.0009989 0.002976 0 0 0.00274 0.001193 0 0 0.002316 0.001745 0 0.7487 0.2513 0.3033 0.6967 0.4296 0.5704 39.7495 32.3653 25.4098 0.005319 0.005319 -64462.6824
EM 3.841 0.8725 0.06053 0.1167 0.08253 0.0108 0.8569 0.09989 0.09989 0 0.0009988 0.002976 0 0 0.00274 0.001193 0 0 0.002316 0.001744 0 0.7487 0.2513 0.3033 0.6967 0.4296 0.5704 39.7476 32.3638 25.4058 0.005319 0.005319 -64462.6718
