mode time Mu[1,1] Mu[1,2] Mu[2,1] Mu[2,2] Mu[3,1] Mu[3,2] rho[1] rho[2] PI[1,1,1] PI[1,1,2] PI[1,2,1] PI[1,2,2] PI[2,1,1] PI[2,1,2] PI[2,2,1] PI[2,2,2] PI[3,1,1] PI[3,1,2] PI[3,2,1] PI[3,2,2] alpha[1,1] alpha[1,2] alpha[2,1] alpha[2,2] alpha[3,1] alpha[3,2] lambda[1] lambda[2] lambda[3] theta[1] theta[2] loglikelihood
EM 19.77 0.8522 0.04062 0.1313 0.08748 0.01659 0.8719 0.1032 0.1032 0 0.003631 0.001361 0 0 0.002838 0.001205 0 0 0.001604 0.002514 0 0.2727 0.7273 0.2981 0.7019 0.6104 0.3896 45.8371 33.8503 27.3202 0.006307 0.006307 -67448.8591
EM 23.07 0.853 0.04076 0.1304 0.08731 0.01652 0.8719 0.1033 0.1033 0 0.003632 0.001361 0 0 0.002839 0.001205 0 0 0.001606 0.002515 0 0.2726 0.7274 0.298 0.702 0.6104 0.3896 45.8505 33.8717 27.3325 0.006307 0.006307 -67448.7961
EM 26.31 0.8537 0.04089 0.1298 0.08719 0.01647 0.8719 0.1033 0.1033 0 0.003631 0.001361 0 0 0.002839 0.001205 0 0 0.001606 0.002516 0 0.2726 0.7274 0.2979 0.7021 0.6103 0.3897 45.8525 33.8834 27.3397 0.006307 0.006307 -67448.7563
EM 31.54 0.8542 0.04099 0.1294 0.0871 0.01643 0.8719 0.1033 0.1033 0 0.003631 0.00136 0 0 0.00284 0.001205 0 0 0.001607 0.002516 0 0.2725 0.7275 0.2979 0.7021 0.6103 0.3897 45.8489 33.8894 27.344 0.006306 0.006306 -67448.7305
EM 36.25 0.8545 0.04108 0.1291 0.08704 0.01639 0.8719 0.1034 0.1034 0 0.00363 0.00136 0 0 0.00284 0.001204 0 0 0.001607 0.002517 0 0.2725 0.7275 0.2978 0.7022 0.6103 0.3897 45.8429 33.8921 27.3465 0.006306 0.006306 -67448.7134
EM 40.33 0.8548 0.04115 0.1289 0.08699 0.01636 0.8719 0.1034 0.1034 0 0.003629 0.001359 0 0 0.002839 0.001204 0 0 0.001607 0.002517 0 0.2725 0.7275 0.2978 0.7022 0.6102 0.3898 45.8364 33.8929 27.348 0.006306 0.006306 -67448.7018
thinning 6.418 0.8548 0.04115 0.1289 0.08699 0.01636 0.8719 0.1034 0.1034 0 0.003629 0.001359 0 0 0.002839 0.001204 0 0 0.001607 0.002517 0 0.2725 0.7275 0.2978 0.7022 0.6102 0.3898 45.8364 33.8929 27.348 0.006306 0.006306 -67446.1862
phasehunt 3.911 0.8548 0.04115 0.1289 0.08699 0.01636 0.8719 0.1034 0.1034 0 0.003629 0.001359 0 0 0.002839 0.001204 0 0 0.001607 0.002517 0 0.2725 0.7275 0.2978 0.7022 0.6102 0.3898 45.8364 33.8929 27.348 0.006306 0.006306 -67445.4349
EM 3.619 0.8569 0.04137 0.1267 0.08598 0.01637 0.8726 0.1034 0.1034 0 0.003631 0.001362 0 0 0.002842 0.001206 0 0 0.001608 0.002517 0 0.2727 0.7273 0.298 0.702 0.6102 0.3898 45.8365 33.9095 27.3521 0.006308 0.006308 -67445.0539
EM 7.505 0.8585 0.04159 0.1252 0.08535 0.01638 0.8731 0.1035 0.1035 0 0.003635 0.001363 0 0 0.002845 0.001207 0 0 0.001609 0.002519 0 0.2728 0.7272 0.2979 0.7021 0.6102 0.3898 45.8788 33.9514 27.3701 0.006309 0.006309 -67444.8465
EM 11.55 0.8595 0.0418 0.1241 0.08494 0.01639 0.8733 0.1036 0.1036 0 0.003637 0.001364 0 0 0.002847 0.001208 0 0 0.00161 0.00252 0 0.2728 0.7272 0.2979 0.7021 0.6102 0.3898 45.9041 33.9771 27.3816 0.006309 0.006309 -67444.7262
EM 15.07 0.8603 0.04198 0.1233 0.08466 0.01641 0.8734 0.1036 0.1036 0 0.003638 0.001364 0 0 0.002848 0.001208 0 0 0.00161 0.00252 0 0.2727 0.7273 0.2978 0.7022 0.6102 0.3898 45.9131 33.9894 27.3866 0.006309 0.006309 -67444.6531
EM 18.86 0.8608 0.04213 0.1228 0.08447 0.01642 0.8734 0.1037 0.1037 0 0.003637 0.001364 0 0 0.002848 0.001208 0 0 0.00161 0.00252 0 0.2727 0.7273 0.2978 0.7022 0.6102 0.3898 45.9117 33.9933 27.3875 0.006308 0.006308 -67444.6071
EM 22.54 0.8612 0.04226 0.1224 0.08433 0.01642 0.8734 0.1037 0.1037 0 0.003636 0.001363 0 0 0.002848 0.001207 0 0 0.00161 0.00252 0 0.2727 0.7273 0.2977 0.7023 0.6102 0.3898 45.9047 33.9926 27.3863 0.006308 0.006308 -67444.5774
EM 25.9 0.8615 0.04237 0.1221 0.08423 0.01643 0.8734 0.1037 0.1037 0 0.003635 0.001363 0 0 0.002847 0.001207 0 0 0.00161 0.00252 0 0.2727 0.7273 0.2977 0.7023 0.6101 0.3899 45.8954 33.9895 27.384 0.006307 0.006307 -67444.5577
EM 29.51 0.8617 0.04246 0.1219 0.08415 0.01644 0.8734 0.1037 0.1037 0 0.003634 0.001362 0 0 0.002847 0.001207 0 0 0.00161 0.00252 0 0.2726 0.7274 0.2977 0.7023 0.6101 0.3899 45.8856 33.9854 27.3815 0.006307 0.006307 -67444.5444
thinning 10.33 0.8618 0.04254 0.1217 0.08409 0.01644 0.8734 0.1038 0.1038 0 0.003633 0.001362 0 0 0.002846 0.001206 0 0 0.00161 0.00252 0 0.2726 0.7274 0.2977 0.7023 0.6101 0.3899 45.8764 33.9812 27.3791 0.006306 0.006306 -67442.1221
phasehunt 4.503 0.8618 0.04254 0.1217 0.08409 0.01644 0.8734 0.1038 0.1038 0 0.003633 0.001362 0 0 0.002846 0.001206 0 0 0.00161 0.00252 0 0.2726 0.7274 0.2977 0.7023 0.6101 0.3899 45.8764 33.9812 27.3791 0.006306 0.006306 -67434.5215
EM 3.489 0.8631 0.04261 0.1205 0.0836 0.01645 0.8738 0.1038 0.1038 0 0.003635 0.001363 0 0 0.002844 0.001206 0 0 0.00161 0.00252 0 0.2728 0.7272 0.2978 0.7022 0.6101 0.3899 45.8802 33.9473 27.3796 0.006306 0.006306 -67434.4031
EM 6.637 0.8639 0.04269 0.1196 0.0833 0.01647 0.874 0.1038 0.1038 0 0.003638 0.001365 0 0 0.002845 0.001206 0 0 0.001611 0.002521 0 0.2728 0.7272 0.2978 0.7022 0.6101 0.3899 45.9077 33.9583 27.3889 0.006307 0.006307 -67434.3345
EM 10.1 0.8645 0.04277 0.119 0.0831 0.01649 0.8741 0.1039 0.1039 0 0.003639 0.001365 0 0 0.002846 0.001207 0 0 0.001611 0.002521 0 0.2728 0.7272 0.2977 0.7023 0.6101 0.3899 45.9247 33.9694 27.395 0.006307 0.006307 -67434.2927
EM 14.72 0.8649 0.04284 0.1186 0.08297 0.0165 0.8742 0.1039 0.1039 0 0.00364 0.001365 0 0 0.002846 0.001207 0 0 0.001611 0.002521 0 0.2728 0.7272 0.2977 0.7023 0.6101 0.3899 45.9322 33.9762 27.3976 0.006306 0.006306 -67434.266
EM 19.04 0.8652 0.04291 0.1183 0.08288 0.01652 0.8742 0.1039 0.1039 0 0.00364 0.001365 0 0 0.002846 0.001206 0 0 0.001612 0.002521 0 0.2728 0.7272 0.2977 0.7023 0.6101 0.3899 45.9334 33.9793 27.398 0.006306 0.006306 -67434.2486
EM 23.1 0.8654 0.04296 0.1181 0.08282 0.01653 0.8742 0.1039 0.1039 0 0.003639 0.001365 0 0 0.002846 0.001206 0 0 0.001612 0.002521 0 0.2728 0.7272 0.2977 0.7023 0.6101 0.3899 45.9314 33.98 27.3973 0.006306 0.006306 -67434.2369
thinning 10.98 0.8656 0.043 0.1179 0.08278 0.01653 0.8742 0.104 0.104 0 0.003639 0.001365 0 0 0.002846 0.001206 0 0 0.001611 0.002521 0 0.2728 0.7272 0.2977 0.7023 0.6101 0.3899 45.9278 33.9794 27.396 0.006305 0.006305 -67433.2804
phasehunt 5.807 0.8656 0.043 0.1179 0.08278 0.01653 0.8742 0.104 0.104 0 0.003639 0.001365 0 0 0.002846 0.001206 0 0 0.001611 0.002521 0 0.2728 0.7272 0.2977 0.7023 0.6101 0.3899 45.9278 33.9794 27.396 0.006305 0.006305 -67430.1694
EM 3.491 0.8663 0.0431 0.1172 0.08248 0.01654 0.8744 0.104 0.104 0 0.003606 0.001347 0 0 0.002838 0.001208 0 0 0.001612 0.002522 0 0.272 0.728 0.2985 0.7015 0.6101 0.3899 45.5941 33.8274 27.3995 0.006307 0.006307 -67430.1066
EM 7.316 0.8667 0.0432 0.1167 0.08229 0.01655 0.8745 0.104 0.104 0 0.00359 0.00134 0 0 0.002838 0.001208 0 0 0.001612 0.002522 0 0.2718 0.7282 0.2985 0.7015 0.6101 0.3899 45.4098 33.8254 27.4038 0.006307 0.006307 -67430.0688
EM 10.8 0.8671 0.04329 0.1164 0.08217 0.01656 0.8745 0.1041 0.1041 0 0.003583 0.001337 0 0 0.002838 0.001208 0 0 0.001612 0.002522 0 0.2717 0.7283 0.2985 0.7015 0.6101 0.3899 45.3309 33.8259 27.4051 0.006307 0.006307 -67430.0449
EM 15.56 0.8673 0.04337 0.1161 0.08209 0.01657 0.8745 0.1041 0.1041 0 0.00358 0.001336 0 0 0.002838 0.001207 0 0 0.001612 0.002522 0 0.2717 0.7283 0.2985 0.7015 0.6101 0.3899 45.2944 33.825 27.4045 0.006307 0.006307 -67430.029
EM 18.93 0.8675 0.04344 0.1159 0.08203 0.01658 0.8745 0.1041 0.1041 0 0.003578 0.001335 0 0 0.002837 0.001207 0 0 0.001612 0.002522 0 0.2717 0.7283 0.2985 0.7015 0.61 0.39 45.275 33.8229 27.403 0.006306 0.006306 -67430.0183
